"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species.group","subclass","subcohort","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe","host_record_lcdb_nhm"
69,"Acipenser stellatus","species","7903","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser stellatus",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser stellatus x gueldenstaedti"
70,"Acipenser sturio","species","61674","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser sturio",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser sturio"
71,"Acipenser transmontanus","species","7904","Actinopteri",NA,"Acipenseridae","Acipenser",NA,NA,"Metazoa","Acipenseriformes",NA,"Chordata","Acipenser transmontanus",NA,"Chondrostei",NA,"Acipenserinae",NA,NA,"Acipenseroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,"Acipenserini","Acipenser transmontanus"
72,"Acomys cahirinus","species","10068","Mammalia",NA,"Muridae","Acomys",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Acomys cahirinus",NA,NA,NA,"Deomyinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Acomys cahirinus"
72,"Acomys cahirinus","species","10068","Mammalia",NA,"Muridae","Acomys",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Acomys cahirinus",NA,NA,NA,"Deomyinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Acomys cahirinus dimidiatus"
73,"Acomys dimidiatus","species","60744","Mammalia",NA,"Muridae","Acomys",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Acomys dimidiatus",NA,NA,NA,"Deomyinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Acomys dimidiatus"
74,"Acrantophis dumerili","species","51850","Craniata",NA,"Boidae","Acrantophis",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Acrantophis dumerili",NA,NA,NA,"Boinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Henophidia","Eukaryota","Lepidosauria",NA,"Acrantophis dumerili"
75,"Acrida exaltata","species","546922","Insecta","Polyneoptera","Acrididae","Acrida","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda","Acrida exaltata",NA,"Pterygota",NA,"Acridinae",NA,NA,"Caelifera","Hexapoda",NA,NA,"Acridoidea","Eukaryota",NA,NA,"Acrida exaltata"
76,"Acrida turrita","species","62766","Insecta","Polyneoptera","Acrididae","Acrida","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda","Acrida turrita",NA,"Pterygota",NA,"Acridinae",NA,NA,"Caelifera","Hexapoda",NA,NA,"Acridoidea","Eukaryota",NA,NA,"Acrida turrina"
76,"Acrida turrita","species","62766","Insecta","Polyneoptera","Acrididae","Acrida","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda","Acrida turrita",NA,"Pterygota",NA,"Acridinae",NA,NA,"Caelifera","Hexapoda",NA,NA,"Acridoidea","Eukaryota",NA,NA,"Acrida turrita"
77,"Acridotheres cristalellus","genus","245037","Aves",NA,"Sturnidae","Acridotheres","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Acridotheres cristallelus"
78,"Acridotheres cristatellus","species","451382","Aves",NA,"Sturnidae","Acridotheres","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Acridotheres cristatellus",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Acridotheres cristatellus cristatellus"
79,"Acridotheres ginginianus","species","451383","Aves",NA,"Sturnidae","Acridotheres","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Acridotheres ginginianus",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Acridotheres ginginianus"
80,"Acridotheres grandis","species","451384","Aves",NA,"Sturnidae","Acridotheres","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Acridotheres grandis",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Acridotheres grandis"
81,"Acridotheres tristis","species","279927","Aves",NA,"Sturnidae","Acridotheres","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Acridotheres tristis",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Acridotheres tristis"
81,"Acridotheres tristis","species","279927","Aves",NA,"Sturnidae","Acridotheres","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Acridotheres tristis",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Acridotheres tristis tristis"
82,"Acrocephalus arundinaceus","species","39621","Aves",NA,"Sylviidae","Acrocephalus","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Acrocephalus arundinaceus",NA,NA,NA,"Acrocephalinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Acrocephalus arundinaceus"
83,"Acrocephalus schoenobaenus","species","52609","Aves",NA,"Sylviidae","Acrocephalus","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Acrocephalus schoenobaenus",NA,NA,NA,"Acrocephalinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Acrocephalus schoenobaenus"
84,"Acrocephalus turdoides","genus","39620","Aves",NA,"Sylviidae","Acrocephalus","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,"Acrocephalinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Acrocephalus turdoides"
85,"Acrogalumna longipluma","species","708378","Arachnida",NA,"Galumnidae","Acrogalumna",NA,"Brachypylina","Metazoa","Sarcoptiformes",NA,"Arthropoda","Acrogalumna longipluma",NA,"Acari",NA,NA,NA,NA,"Oribatida","Chelicerata",NA,NA,"Galumnoidea","Eukaryota","Acariformes",NA,"Acrogalumna longipluma"
86,"Acroloxus lacustris","species","240811","Gastropoda",NA,"Acroloxidae","Acroloxus",NA,NA,"Metazoa","Heterobranchia",NA,"Mollusca","Acroloxus lacustris",NA,"Heterobranchia",NA,NA,NA,NA,NA,NA,NA,NA,"Lymnaeoidea","Eukaryota",NA,NA,"Acroloxus lacustris"
88,"Acrotylus humbertianus","genus","322736","Insecta","Polyneoptera","Acrididae","Acrotylus","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Oedipodinae",NA,NA,"Caelifera","Hexapoda",NA,NA,"Acridoidea","Eukaryota",NA,NA,"Acrotylus humbertianus"
88,"Acrotylus humbertianus","genus","257544","Florideophyceae",NA,"Acrotylaceae","Acrotylus",NA,NA,NA,"Gigartinales",NA,"Rhodophyta",NA,NA,"Rhodymeniophycidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,"Acrotylus humbertianus"
89,"Acryllium vulturinum","species","8992","Aves",NA,"Numididae","Acryllium","Neognathae",NA,"Metazoa","Galliformes",NA,"Chordata","Acryllium vulturinum",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Galloanserae",NA,"Acryllium vulturinum"
90,"Actitis hypoleucos","species","320702","Aves",NA,"Scolopacidae","Actitis","Neognathae",NA,"Metazoa","Charadriiformes",NA,"Chordata","Actitis hypoleucos",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Actitis hypoleucos"
90,"Actitis hypoleucos","species","320702","Aves",NA,"Scolopacidae","Actitis","Neognathae",NA,"Metazoa","Charadriiformes",NA,"Chordata","Actitis hypoleucos",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Tringa hypoleucos"
91,"Actitis macularia","species","190659","Aves",NA,"Scolopacidae","Actitis","Neognathae",NA,"Metazoa","Charadriiformes",NA,"Chordata","Actitis macularia",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Actitis macularia"
92,"Actitis macularius","genus","190658","Aves",NA,"Scolopacidae","Actitis","Neognathae",NA,"Metazoa","Charadriiformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Actitis macularius"
93,"Addax nasomaculatus","species","59515","Mammalia",NA,"Bovidae","Addax",NA,"Pecora","Metazoa","Laurasiatheria",NA,"Chordata","Addax nasomaculatus",NA,NA,NA,"Hippotraginae",NA,NA,"Ruminantia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Addax nasomaculatus"
95,"Adesmia biseriata","genus","1470793","Insecta","Holometabola","Tenebrionidae","Adesmia","Neoptera","Cucujiformia","Metazoa","Coleoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Pimeliinae",NA,NA,"Polyphaga","Hexapoda",NA,NA,"Tenebrionoidea","Eukaryota",NA,NA,"Adesmia biseriata"
96,"Adesmia cancellata","species","1752712","Insecta","Holometabola","Tenebrionidae","Adesmia","Neoptera","Cucujiformia","Metazoa","Coleoptera",NA,"Arthropoda","Adesmia cancellata",NA,"Pterygota",NA,"Pimeliinae",NA,NA,"Polyphaga","Hexapoda",NA,NA,"Tenebrionoidea","Eukaryota",NA,NA,"Adesmia cancellata"
97,"Adesmia gebleri","genus","1470793","Insecta","Holometabola","Tenebrionidae","Adesmia","Neoptera","Cucujiformia","Metazoa","Coleoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Pimeliinae",NA,NA,"Polyphaga","Hexapoda",NA,NA,"Tenebrionoidea","Eukaryota",NA,NA,"Adesmia gebleri"
98,"Adesmia panderi","genus","1470793","Insecta","Holometabola","Tenebrionidae","Adesmia","Neoptera","Cucujiformia","Metazoa","Coleoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Pimeliinae",NA,NA,"Polyphaga","Hexapoda",NA,NA,"Tenebrionoidea","Eukaryota",NA,NA,"Adesmia panderi"
99,"Adoristes poppei","species","229811","Arachnida",NA,"Liacaridae","Adoristes",NA,"Brachypylina","Metazoa","Sarcoptiformes",NA,"Arthropoda","Adoristes poppei",NA,"Acari",NA,NA,NA,NA,"Oribatida","Chelicerata",NA,NA,"Gustavioidea","Eukaryota","Acariformes",NA,"Adoristes poppei"
100,"Adoristes sp.","genus","229810","Arachnida",NA,"Liacaridae","Adoristes",NA,"Brachypylina","Metazoa","Sarcoptiformes",NA,"Arthropoda",NA,NA,"Acari",NA,NA,NA,NA,"Oribatida","Chelicerata",NA,NA,"Gustavioidea","Eukaryota","Acariformes",NA,"Adoristes sp."
101,"Aechmophorus occidentalis","species","57236","Aves",NA,"Podicipedidae","Aechmophorus","Neognathae",NA,"Metazoa","Podicipediformes",NA,"Chordata","Aechmophorus occidentalis",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Aechmophorus occidentalis"
103,"Aeginina longicornis","species","398845","Malacostraca",NA,"Caprellidae","Aeginina",NA,"Corophiida","Metazoa","Amphipoda","Caprellidira","Arthropoda","Aeginina longicornis",NA,"Eumalacostraca",NA,NA,NA,NA,"Senticaudata","Crustacea",NA,"Multicrustacea","Caprelloidea","Eukaryota","Peracarida",NA,"Aeginina longicornis"
104,"Aegolius acadica","genus","56264","Aves",NA,"Strigidae","Aegolius","Neognathae",NA,"Metazoa","Strigiformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Argolius acadica"
105,"Aegolius acadicus","species","56265","Aves",NA,"Strigidae","Aegolius","Neognathae",NA,"Metazoa","Strigiformes",NA,"Chordata","Aegolius acadicus",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Aegolius acadicus"
106,"Aepyceros melampus","species","9897","Mammalia",NA,"Bovidae","Aepyceros",NA,"Pecora","Metazoa","Laurasiatheria",NA,"Chordata","Aepyceros melampus",NA,NA,NA,"Aepycerotinae",NA,NA,"Ruminantia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Aepyceros melampus"
107,"Aequidens maroni","genus","81344","Actinopteri","Euteleosteomorpha","Cichlidae","Aequidens","Teleostei",NA,"Metazoa","Cichliformes",NA,"Chordata",NA,NA,"Neopterygii",NA,"Cichlasomatinae",NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cichlomorphae","Cichlasomatini","Aequidens maroni"
108,"Aeropedellus clavatus","species","355363","Insecta","Polyneoptera","Acrididae","Aeropedellus","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda","Aeropedellus clavatus",NA,"Pterygota",NA,"Gomphocerinae",NA,NA,"Caelifera","Hexapoda",NA,NA,"Acridoidea","Eukaryota",NA,NA,"Aeropedellus clavatus"
111,"Aetobatus flagellum","species","420948","Chondrichthyes",NA,"Myliobatidae","Aetobatus",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Aetobatus flagellum",NA,"Elasmobranchii",NA,"Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA,"Aetobatus flagellum"
112,"Aetobatus narinari","species","87140","Chondrichthyes",NA,"Myliobatidae","Aetobatus",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Aetobatus narinari",NA,"Elasmobranchii",NA,"Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA,"Aetobatus narinari"
113,"Aetomylaeus nichofii","species","495821","Chondrichthyes",NA,"Myliobatidae","Aetomylaeus",NA,NA,"Metazoa","Myliobatiformes",NA,"Chordata","Aetomylaeus nichofii",NA,"Elasmobranchii",NA,"Myliobatinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Batoidea",NA,"Aetomylaeus nichofii"
115,"Afropavo congensis","species","9076","Aves",NA,"Phasianidae","Afropavo","Neognathae",NA,"Metazoa","Galliformes",NA,"Chordata","Afropavo congensis",NA,NA,NA,"Phasianinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Galloanserae",NA,"Afropavo congensis"
116,"Agama agama","species","103336","Craniata",NA,"Agamidae","Agama",NA,NA,"Metazoa","Squamata",NA,"Chordata","Agama agama",NA,NA,NA,"Agaminae",NA,NA,"Iguania","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Agama agama"
117,"Agama bibroni","genus","52207","Craniata",NA,"Agamidae","Agama",NA,NA,"Metazoa","Squamata",NA,"Chordata",NA,NA,NA,NA,"Agaminae",NA,NA,"Iguania","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Agama bibroni"
118,"Agama caucasica","genus","52207","Craniata",NA,"Agamidae","Agama",NA,NA,"Metazoa","Squamata",NA,"Chordata",NA,NA,NA,NA,"Agaminae",NA,NA,"Iguania","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Agama caucasica"
119,"Agama sanguinoienta","genus","52207","Craniata",NA,"Agamidae","Agama",NA,NA,"Metazoa","Squamata",NA,"Chordata",NA,NA,NA,NA,"Agaminae",NA,NA,"Iguania","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Lepidosauria",NA,"Agama sanguinoienta"
121,"Agapornis roseicollis","species","60468","Aves",NA,"Psittacidae","Agapornis","Neognathae",NA,"Metazoa","Psittaciformes",NA,"Chordata","Agapornis roseicollis",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota",NA,NA,"Agapornis roseicollis"
122,"Agelaius phoeniceus","species","39638","Aves",NA,"Icteridae","Agelaius","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Agelaius phoeniceus",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Passeroidea","Eukaryota",NA,NA,"Agelaius phoeniceus"
123,"Agelaius phoenicius","genus","9190","Aves",NA,"Icteridae","Agelaius","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata",NA,NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Passeroidea","Eukaryota",NA,NA,"Agelaius phoenicius"
124,"Agkistrodon piscivorus","species","8715","Craniata",NA,"Viperidae","Agkistrodon",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Agkistrodon piscivorus",NA,NA,NA,"Crotalinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii","Colubroidea","Eukaryota","Lepidosauria",NA,"Agkistrodon piscivorus"
125,"Aglantha digitale","species","56245","Hydrozoa",NA,"Rhopalonematidae","Aglantha",NA,NA,"Metazoa","Trachymedusae",NA,"Cnidaria","Aglantha digitale",NA,"Trachylinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota",NA,NA,"Aglantha digitale"
126,"Aglaodiaptomus leptopus","species","240648","Hexanauplia",NA,"Diaptomidae","Aglaodiaptomus","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Aglaodiaptomus leptopus",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Diaptomus leptopus"
126,"Aglaodiaptomus leptopus","species","240648","Hexanauplia",NA,"Diaptomidae","Aglaodiaptomus","Neocopepoda",NA,"Metazoa","Calanoida",NA,"Arthropoda","Aglaodiaptomus leptopus",NA,"Copepoda",NA,NA,NA,NA,NA,"Crustacea",NA,"Multicrustacea",NA,"Eukaryota","Gymnoplea",NA,"Diaptomus piscinae"
127,"Agonus cataphractus","species","508607","Actinopteri","Euteleosteomorpha","Agonidae","Agonus","Teleostei","Cottales","Metazoa","Perciformes",NA,"Chordata","Agonus cataphractus",NA,"Neopterygii",NA,"Agoninae",NA,NA,"Cottioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Agonus cataphractus"
137,"Aidablennius sphynx","species","195073","Actinopteri","Euteleosteomorpha","Blenniidae","Aidablennius","Teleostei",NA,"Metazoa","Blenniiformes",NA,"Chordata","Aidablennius sphynx",NA,"Neopterygii",NA,"Salariinae",NA,NA,"Blennioidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Blennius sphinx"
138,"Ailuropoda melanoleuca","species","9646","Mammalia",NA,"Ursidae","Ailuropoda",NA,NA,"Metazoa","Carnivora",NA,"Chordata","Ailuropoda melanoleuca",NA,NA,NA,NA,NA,NA,"Caniformia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Ailuropoda melanoleuca"
139,"Ailurus fulgens","species","9649","Mammalia",NA,"Ailuridae","Ailurus",NA,NA,"Metazoa","Carnivora",NA,"Chordata","Ailurus fulgens",NA,NA,NA,NA,NA,NA,"Caniformia","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Laurasiatheria",NA,"Ailurus fulgens"
140,"Aiolopus oxyanus","genus","243006","Insecta","Polyneoptera","Acrididae","Aiolopus","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Oedipodinae",NA,NA,"Caelifera","Hexapoda",NA,NA,"Acridoidea","Eukaryota",NA,NA,"Aiolopus oxyanus"
141,"Aiolopus sp.","genus","243006","Insecta","Polyneoptera","Acrididae","Aiolopus","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Oedipodinae",NA,NA,"Caelifera","Hexapoda",NA,NA,"Acridoidea","Eukaryota",NA,NA,"Aiolopus sp."
142,"Aiolopus thalassinus","species","243007","Insecta","Polyneoptera","Acrididae","Aiolopus","Neoptera","Acrididea","Metazoa","Orthoptera",NA,"Arthropoda","Aiolopus thalassinus",NA,"Pterygota",NA,"Oedipodinae",NA,NA,"Caelifera","Hexapoda",NA,NA,"Acridoidea","Eukaryota",NA,NA,"Aiolopus thalassinus"
143,"Aix galericulata","species","8832","Aves",NA,"Anatidae","Aix","Neognathae",NA,"Metazoa","Anseriformes",NA,"Chordata","Aix galericulata",NA,NA,NA,"Anatinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Galloanserae",NA,"Aix galericulata"
144,"Aix sponsa","species","8833","Aves",NA,"Anatidae","Aix","Neognathae",NA,"Metazoa","Anseriformes",NA,"Chordata","Aix sponsa",NA,NA,NA,"Anatinae",NA,NA,NA,"Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Galloanserae",NA,"Aix sponsa"
145,"Akis goryi","genus","744263","Insecta","Holometabola","Tenebrionidae","Akis","Neoptera","Cucujiformia","Metazoa","Coleoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Pimeliinae",NA,NA,"Polyphaga","Hexapoda",NA,NA,"Tenebrionoidea","Eukaryota",NA,NA,"Akis goryi"
146,"Akis sp.","genus","744263","Insecta","Holometabola","Tenebrionidae","Akis","Neoptera","Cucujiformia","Metazoa","Coleoptera",NA,"Arthropoda",NA,NA,"Pterygota",NA,"Pimeliinae",NA,NA,"Polyphaga","Hexapoda",NA,NA,"Tenebrionoidea","Eukaryota",NA,NA,"Akis sp."
147,"Akodon azarae","species","29095","Mammalia",NA,"Cricetidae","Akodon",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Akodon azarae",NA,NA,NA,"Sigmodontinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Akodon azarae"
147,"Akodon azarae","species","29095","Mammalia",NA,"Cricetidae","Akodon",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Akodon azarae",NA,NA,NA,"Sigmodontinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Akodon azarae azarae"
148,"Akodon boliviensis","species","10072","Mammalia",NA,"Cricetidae","Akodon",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Akodon boliviensis",NA,NA,NA,"Sigmodontinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Akodon boliviensis"
149,"Akodon jelskii","genus","10069","Mammalia",NA,"Cricetidae","Akodon",NA,NA,"Metazoa","Rodentia",NA,"Chordata",NA,NA,NA,NA,"Sigmodontinae",NA,NA,"Myomorpha","Craniata",NA,"Sarcopterygii",NA,"Eukaryota","Euarchontoglires",NA,"Akodon jelskii"
150,"Alauda arvensis","species","88112","Aves",NA,"Alaudidae","Alauda","Neognathae",NA,"Metazoa","Passeriformes",NA,"Chordata","Alauda arvensis",NA,NA,NA,NA,NA,NA,NA,"Craniata",NA,"Sarcopterygii","Sylvioidea","Eukaryota",NA,NA,"Alauda arvensis"
151,"Albula vulpes","species","54909","Actinopteri",NA,"Albulidae","Albula","Teleostei",NA,"Metazoa","Albuliformes",NA,"Chordata","Albula vulpes",NA,"Neopterygii",NA,"Albulinae",NA,NA,NA,"Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA,"Albula vulpes"
152,"Alburnoides bipunctatus","species","58321","Actinopteri","Otomorpha","Cyprinidae","Alburnoides","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Alburnoides bipunctatus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Alburnoides bipunctatus"
153,"Alburnoides sp.","genus","58320","Actinopteri","Otomorpha","Cyprinidae","Alburnoides","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata",NA,NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Alburnoides sp."
154,"Alburnus albidus","species","317898","Actinopteri","Otomorpha","Cyprinidae","Alburnus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Alburnus albidus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Alburnus albidus"
154,"Alburnus albidus","species","317898","Actinopteri","Otomorpha","Cyprinidae","Alburnus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Alburnus albidus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Alburnus albidus alborella"
155,"Alburnus alburnus","species","54556","Actinopteri","Otomorpha","Cyprinidae","Alburnus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Alburnus alburnus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Alburnus alburnus"
155,"Alburnus alburnus","species","54556","Actinopteri","Otomorpha","Cyprinidae","Alburnus","Teleostei",NA,"Metazoa","Cypriniformes",NA,"Chordata","Alburnus alburnus",NA,"Neopterygii","Ostariophysi",NA,NA,NA,"Cyprinoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Cypriniphysae",NA,"Alburnus alburnus alborella"
